,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius
65,61 Cygni,011.41,0.7,0.665,65,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999
66,R Doradus,0178,0.7 - 1.0,298,66,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999
67,Polaris Australis,0281,1.59,3.74,67,LHS 2021,55.0,0.084003744,0.11817744999999999
68,R Coronae Borealis,"04,566",0.85,85,68,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999
69,54 Piscium,036.1,0.76,0.94,69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
70,Mira,0300,1.2,370,70,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
71,RW Cephei,"014,000",13.9,"1,158",71,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
72,Lacaille 8760,012.87,0.6,0.51,72,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999
73,V838 Monocerotis,"019,896",?,380 - 750,73,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
74,HD 140283,0190,?,1.4,74,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
75,II Pegasi,0130,0.8,3.4,75,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999
76,VY Canis Majoris,"03,900",17,"1,420",76,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998
77,Pistol Star,"025,000",100,320,77,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999
78,S Doradus,"0169,000",24,380,78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998
79,UY Scuti,"05,100",7–10,755,79,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999
80,Barnard's Star,05.98,0.14,0.20,80,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
81,Luhman 16,06.52,0.04,?,81,DEN 1048-3956,13.15,0.073503276,0.10995641
82,Proxima Centauri,04.25,0.12,0.15,82,Luhman 16B,6.516,0.041047284,0.10481826
83,KIC 8462852,"01,470",1.43,1.58,83,Luhman 16A,6.516,0.03818352,0.10379063
84,R136a1,"0163,000",290,32,84,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
85,Melnick 42,"0163,000",189,21.1,85,TWA 28,180.0,0.034365168,0.24560357
86,WR 102,"018,134",19,0.39,86,Cha 110913-773444,163.0,0.007636704,0.18497339999999998
87,VFTS 352,"0164,000",57.48,14.47,87,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
88,YBP 1194,"02,772",1.01,0.99,88,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
89,Gliese 1214,047.5,0.16,0.21,89,TWA 26,137.0,0.028637640000000002,0.2260786
90,NML Cygni,"05,251",50,"1,640 - 2,770",90,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445
91,VB 10,018.72,0.075,0.10,91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
92,WOH G64,"0163,000",<20,"1,540 - 1,730",92,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
93,TRAPPIST-1,039.6,0.089,0.12,93,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721999999998
94,2MASS J0523-1403,040.3,0.07,0.086,94,2M 1237+6526,45.6,0.039138108,0.09659721999999998
95,WISE 0855−0714,07.27,0.003,?,95,TWA 29,262.0,0.0238647,0.205526
96,Icarus,"014,400,000,000",33,?,96,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070773999999999
